,tweet_id,rating_numerator,retweet_count,favorite_count,p1_conf,p2_conf,p3_conf
count,1941.0,1941.0,1940.0,1940.0,1672.0,1672.0,1672.0
mean,7.345651171521211e+17,12.215352910870685,2685.393298969072,8810.139175257733,0.5716047790669856,0.14058228105323745,0.06269009300358314
std,6.674540075984807e+16,41.953729928199195,4792.382674545577,12969.727537672323,0.27408346229515446,0.10257826850318892,0.051553777005045084
min,6.660208880227901e+17,0.0,12.0,80.0,0.0443334,1.0113000000000001e-08,1.7401699999999998e-10
25%,6.757108909567508e+17,10.0,589.5,1864.5,0.3395905,0.059259374999999996,0.017165025
50%,7.07969809498153e+17,11.0,1271.0,3880.5,0.544931,0.1245165,0.05454660000000001
75%,7.844314304116859e+17,12.0,3065.25,11009.5,0.823429,0.202483,0.094768925
max,8.924206435553362e+17,1776.0,83828.0,164571.0,1.0,0.4880140000000001,0.273419
